branch_name,swift_code
Degroof Vermogensbeheer N.v.,DVERNL21XXX
De Vries En Westermann B.v.,VRWENL21XXX
De Vries En Co B.v.,VRIENL21XXX
De Veste Vermogensbeheer B.v.,VESVNL21XXX
De Vermogensspecialist B.v.,VERMNL21XXX
De Lage Landen International B.v,DLLINL2EXXX
Dcm Brokers B.v.,DCMBNL21XXX
Curvalue Iii B.v.,CUIINL21XXX
Curvalue Ii B.v.,CUVVNL21XXX
Cross Options Int. Xi B.v.,CRNINL21XXX
Criterion Arbitrage And Trading B.v,CRBDNL21XXX
"Credit Agricole Cheuvreux Netherlands N, Amsterdam",CACHNL21XXX
Cordares Vermogensbeheer B.v.,CORHNL21XXX
Eclipse Options (nl) B.v.,ECOTNL21XXX
Endex European Energy Derivatives Exchange N.v.,EEEDNL21XXX
Effective Traders Amsterdam B.v.,EFTANL21XXX
Edutraders Iii B.v.,EDUINL21XXX
Effectenkantoor Nieuwe Uitleg B.v.,EFNUNL21XXX
Dvb Bank Nv,DVBVNL21XXX
E.d.i. Equity Derivatives Investments B.v.,EEDINL21XXX
Dutch Emissions Authority,DUEANL21XXX
Dutch Options And Futures Institute B.v.,DOFNNL21XXX
Dsm Pensions Services,DSMHNL21XXX
Dsb Bank (zaandam) Nv,SBHONL21XXX
Domix Opties B.v.,DOMENL21XXX
Douchka B.v.,DOUKNL21XXX
Direktbank N.v.,DIRKNL21XXX
Dima Vermogensbeheer B.v.,DIMVNL21XXX
Dijkstra Beaumont Wealth Management B.v.,DBWMNL21XXX
Dexia Bank Nederland Nv,DEXNNL21XXX
Deno Vermogensbeheer B.v.,DEVRNL21XXX
Delta Lloyd Rentefonds,DLRTNL21XXX
Delta Lloyd Asset Management N.v.,DLANNL21XXX
Converse Netherlands B.v.,COVHNL21XXX
Converse Netherlands B.v. Finance Division,CNFDNL21XXX
Consortium Helveticum B.v.,COHENL21XXX
Finles Vermogensbeheer B.v.,FIVMNL21XXX
Financiele Termijnmarket Amsterdam,XFTANL21XXX
First Capital Asset Managers B.v.,FCAMNL21XXX
Financiele Onderneming Smidswater B.v.,FOSMNL21XXX
Finaltrust Vermogensbeheer B.v.,FVERNL21XXX
Fieret En Van Lynden B.v.,FLYNNL21XXX
Fimagro B.v.,FMMANL21XXX
F.i.n.t.,FININL21XXX
Fenc Netherlands B.v.,FENTNL21XXX
Faxtor Securities B.v.,FAXSNL21XXX
Falcinvest Asset Management B.v.,FAMNNL21XXX
Ext B.v.,EXTXNL21XXX
Exxonmobil Capital Netherlands Bv,EXXONL21XXX
"Euronext Irf, Interest Rate Future And Options",XEUINL21XXX
"Euronext Eqf, Equities And Indices Derivatives",XEUENL21XXX
"Euronext Com, Commodities Futures And Options",XEUCNL21XXX
Euro American Participations B.v.,EUAPNL21XXX
Eureffect Asset Management B.v.,EAMNNL21XXX
Ernst En Van Den Broek Vermogensbeheer B.v.,EDBVNL21XXX
Eneco Energy Trade B.v.,ENECNL21XXX
Columbus Group B.v.,COLGNL21XXX
Groenstate Vermogensadvies B.v.,GRVENL21XXX
Groeivermogen N.v.,GROENL21XXX
Grafische Bedrijfsfondsen,GRBENL21XXX
Goris En Ladru Vermogensbeheer B.v.,GOLVNL21XXX
Gooisch Effectenhuis B.v.,GOEFNL21XXX
Global Exchange Trading Services Bv,GETSNL21XXX
Global Derivatives Trading Amsterdam B.v.,GDTANL21XXX
Gestion Nv,GESONL21XXX
Future Surfing B.v.,FUTSNL21XXX
Fortop B.v.,FOTPNL21XXX
Fundix N.v.,FUNXNL21XXX
Fortis (gsla) B.v.,GSLANL21XXX
Franke En Partners Pensioen-advies En Vermogensbeheer Bv,FPPVNL21XXX
Forza Vermogensbeheer B.v.,FORVNL21XXX
Fortis Bank Global Clearing Nv,FBGCNL21XXX
Forger Equity Trading B.v.,FOETNL21XXX
Fluhalp Trading Bv,FLUTNL21XXX
Ide International Derivatives Enterprise B.v.,IIDNNL21XXX
Hot Traders V.o.f.,HOTVNL21XXX
Hopstaken Johannesma En Co B.v.,HOPJNL21XXX
Homburg Participaties B.v.,HOMPNL21XXX
Hof Hoorneman Bankiers Nv,HHBANL22XXX
Hiroshima Bank (europe) N.v.,HIEUNL21XXX
Hiq Trading And Liquidity Providing N.v.,HIQTNL21XXX
Himalayan Fund N.v.,HIFUNL21XXX
Het Haags Effektenkantoor B.v.,HHEFNL21XXX
Hieronymus Options B.v.,HIOPNL21XXX
Hewlett-packard Nederland B.v.,HENLNL21XXX
Het Hollandsch Effectenkantoor B.v.,HHECNL21XXX
Heerema Marine Contractors Finance Bv,HMCFNL2LXXX
Havenbedrijf Rotterdam (port Of Rotterdam,POFRNL2RXXX
Hartwig Ii B.v.,HARTNL21XXX
Gvb Capital Management B.v.,GVCMNL21XXX
Harmony Vermogensbeheer B.v.,HAVENL21XXX
Hanzevast Capital N.v.,HCAPNL21XXX
Gunma Bank Europe N.v.,GUNUNL21XXX
Gruenberg Investments B.v.,GRNVNL21XXX
Flow Traders B.v.,FLTRNL21XXX
Florint B.v.,FLOINL21XXX
First Euro Securities And Derivatives Trading B.v.,FESDNL21XXX
Inter Value Options B.v.,ITVONL21XXX
Intal B.v.,ITTANL21XXX
Instituut Voor Beleggingsstrategie B.v.,INLGNL21XXX
Insinger De Beaufort Asset Management N.v.,IBAMNL21XXX
Inmaxxa B.v.,INMXNL21XXX
Ingramm International N.v.,IGITNL21XXX
Ing Investment Management Netherlands N.v.,INGONL21XXX
Ing Personal Fund Services B.v.,INGQNL21XXX
Ing Im Advisors B.v.,INGWNL21XXX
Ing Direct N.v.,INGDNL21XXX
Ing Asset Management B.v.,INGKNL21XXX
Ing Am Interfinance Sevices B.v.,INGJNL21XXX
Indubel Vermogensbeheer Nv,INVHNL21XXX
Independent Trading Combination Effecten B.v.,ITCFNL21XXX
Ims Institutional Management Services B.v.,IIMSNL21XXX
Imc Trading B.v.,IMTRNL21XXX
Imc Options B.v.,IMOPNL21XXX
Imc Securities B.v.,IMCSNL21XXX
Info Desk Ams,IMCBNL21INF
Market Making Ams,IMCBNL21MMX
Imc B.v.,IMCBNL21XXX
Ifn Finance B.v.,IFFANL21XXX
"Kepler Equities, Amsterdam Branch",JBBRNL21XXX
Kemp Trading Bv T/a Nino Options,KTNONL21XXX
Keijser Capital N.v.,KECLNL21XXX
Kbw Wesselius Effectenbank N.v.,KBWFNL21XXX
Kaldenbach Derivatives Trading B.v.,KADTNL21XXX
Kairos Asset Management B.v.,KAMENL21XXX
Jmc International Marketmakers Combination Bv,JMCINL21XXX
Jansen En Van Noort Vermogensbeheer B.v.,JNVENL21XXX
J And T Private Equity B.v.,PREQNL21XXX
Ivv Asset Management B.v.,IVAENL21XXX
Ivm Vermogensbeheer B.v.,IVMVNL21XXX
Investment Management Group,INMGNL21XXX
Invest4you N.v.,INYONL21XXX
Invest Consult B.v.,IVVCNL21XXX
Interpolis Pensioenen Vermogensbeheer B.v.,INPVNL21XXX
International Card Services B.v.,ICSVNL21XXX
International Bank And Trust Corp.,IBTCNL21XXX
Lunar Vermogensbeheer B.v.,LUVENL21XXX
Loyalis Financial Services N.v.,LOFSNL21XXX
Liquidity,LOYDNL21LIQ
Lentjes En Drossaerts N.v.,LEDRNL21XXX
Lg Electronics European Shared Service Center B.v.,LGETNL21XXX
Leopark Options B.v.,LEOPNL21XXX
