name,value,label
PICHESMM,0235,"Banco Pichincha España, S.A."
PSTRESMM,0238,"Banco Pastor, S.A (formerly Banco Popular Pastor, S.A)"
BPIPESM1,1470,"Banco Português de Investimento, S.A., S.E."
BFIVESBB,0186,"Banco Mediolanum, S.A."
CGDIESMM,0130,"Banco Caixa Geral, S.A."
POPUESMM,0075,Banco Popular Espanol
ALCLESMM,0188,"Banco Alcalá, S.A."
NORTESMM,0086,"Banco Banif, S.A."
BSCHESMM,0049,Banco Santander
BBPIESMM,0190,"Banco Bpi, S.A., S.E."
BAPUES22,0078,"Banca Pueyo, S.A."
ETICES21,1550,"Banca Popolare Etica Sociedad Cooperativa Per Aziones, S.E."
FASNESM1,1554,Banca Farmafactoring. SPA Suc en España
BMARES2M,0061,"Banca March, S.A."
BBVAESMM,0182,"Banco Bilbao Vizcaya Argentaria, S.A."
GEBAESMM,0167,"BNP Paribas Fortis, S.A., N.V., Sucursal en España (formerly Fortis Bank, S.A., S.E.)"
INALESM1,0129,"BBVA Banco de Financiación, S.A."
BNPAESMH,0149,"BNP Paribas, S.E."
PARBESMH,0144,"BNP Paribas Securities Services, S.E."
AREBESMM,0136,"Aresbank. S.A. (formerly Banco Árabe Español, S.A.)"
BNPAESMZ,0058,"BNP Paribas España, S.A."
BACAESMM,1544,"Andbank España, S.A. (formerly Andbank Luxembourg, S.A., S.E.)"
ALLFESMM,0011,"Allfunds Bank, S.A"
CAGLESMM,2080,"Abanca Corporación Bancaria, S.A. (formerly NCG Banco, S.A.)"
